symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ADXN,2024-03-07 05:00:00+00:00,9.58,9.58,9.44,9.44,1963.0,33.0,9.447649
AIMAU,2024-03-07 05:00:00+00:00,11.5,12.5838,11.5,12.5838,1660.0,6.0,11.626767
ARQQW,2024-03-07 05:00:00+00:00,0.23,0.2699,0.22,0.2201,21536.0,111.0,0.237357
AVDL,2024-03-07 05:00:00+00:00,16.38,16.7225,15.845,16.035,1274433.0,12870.0,16.088835
CHSCP,2024-03-07 05:00:00+00:00,32.0,32.07,31.95,32.065,10783.0,90.0,32.050715
CTRM,2024-03-07 05:00:00+00:00,0.4301,0.4489,0.4301,0.4367,260493.0,918.0,0.438267
CVIIU,2024-03-07 05:00:00+00:00,10.51,10.51,10.51,10.51,247.0,4.0,10.101579
CCD,2024-03-07 05:00:00+00:00,21.96,22.42,21.72,21.95,141904.0,762.0,22.100684
AACG,2024-03-07 05:00:00+00:00,1.56,1.57,1.42,1.5097,32077.0,242.0,1.510846
AMGN,2024-03-07 05:00:00+00:00,276.3,276.81,269.58,272.86,4055044.0,68577.0,272.64458
ANTE,2024-03-07 05:00:00+00:00,1.21,1.6,1.21,1.34,83809.0,582.0,1.459477
AREB,2024-03-07 05:00:00+00:00,0.33,0.33,0.31,0.3125,82539.0,433.0,0.319339
ATHA,2024-03-07 05:00:00+00:00,3.9,4.17,3.86,4.15,473363.0,2749.0,4.030674
BNIXR,2024-03-07 05:00:00+00:00,0.15,0.1637,0.1025,0.149,26812.0,93.0,0.147476
BTMWW,2024-03-07 05:00:00+00:00,0.102,0.118,0.099,0.1021,9274.0,32.0,0.101095
CCOI,2024-03-07 05:00:00+00:00,70.91,70.91,67.67,67.98,885104.0,16129.0,68.604462
CREG,2024-03-07 05:00:00+00:00,1.37,1.53,1.35,1.46,37195.0,197.0,1.45424
CYTO,2024-03-07 05:00:00+00:00,1.82,1.9243,1.76,1.88,52783.0,401.0,1.830714
APLM,2024-03-07 05:00:00+00:00,0.74,0.76,0.72,0.724,101554.0,185.0,0.738353
ARAY,2024-03-07 05:00:00+00:00,2.68,2.95,2.6528,2.85,1330697.0,7236.0,2.850299
CEROW,2024-03-07 05:00:00+00:00,0.161,0.2473,0.0722,0.09,795057.0,740.0,0.123143
CGNT,2024-03-07 05:00:00+00:00,7.34,7.37,7.185,7.36,235597.0,2395.0,7.318293
COCHW,2024-03-07 05:00:00+00:00,0.27,0.315,0.15,0.155,339612.0,596.0,0.234552
AFAR,2024-03-07 05:00:00+00:00,11.05,11.05,11.05,11.05,158.0,4.0,11.043165
AIMD,2024-03-07 05:00:00+00:00,1.39,1.39,1.1,1.12,2333950.0,13324.0,1.973853
CDIOW,2024-03-07 05:00:00+00:00,0.125,0.125,0.1233,0.1233,614.0,8.0,0.126118
CRNT,2024-03-07 05:00:00+00:00,2.99,3.0,2.93,2.96,297864.0,1803.0,2.950489
AFIB,2024-03-07 05:00:00+00:00,0.197,0.197,0.1758,0.1894,450398.0,1019.0,0.185502
AGNC,2024-03-07 05:00:00+00:00,9.645,9.71,9.62,9.63,7685674.0,41510.0,9.642179
APDN,2024-03-07 05:00:00+00:00,0.565,0.575,0.5501,0.56,35116.0,208.0,0.557106
BECN,2024-03-07 05:00:00+00:00,85.66,86.9099,85.65,86.74,457848.0,7963.0,86.4817
CPTN,2024-03-07 05:00:00+00:00,2.55,2.55,2.44,2.5,8122.0,103.0,2.492972
AVPTW,2024-03-07 05:00:00+00:00,0.94,0.97,0.94,0.9699,4800.0,14.0,0.946917
BDSX,2024-03-07 05:00:00+00:00,1.49,1.5251,1.46,1.5,42989.0,348.0,1.484822
CHR,2024-03-07 05:00:00+00:00,2.6,2.6,2.3901,2.54,5622.0,80.0,2.455363
CING,2024-03-07 05:00:00+00:00,1.13,1.2,1.08,1.19,206677.0,1209.0,1.124879
ARQT,2024-03-07 05:00:00+00:00,10.535,10.87,10.23,10.38,2220903.0,19969.0,10.403007
AWH,2024-03-07 05:00:00+00:00,3.9136,3.9136,3.7,3.74,24690.0,244.0,3.751734
CNOB,2024-03-07 05:00:00+00:00,20.06,20.1,19.52,19.67,200109.0,2982.0,19.692955
ANIK,2024-03-07 05:00:00+00:00,25.96,26.78,25.22,25.35,103622.0,1738.0,25.590246
CONN,2024-03-07 05:00:00+00:00,3.59,3.7,3.43,3.52,76619.0,1240.0,3.522364
ARHS,2024-03-07 05:00:00+00:00,14.0,15.59,13.8,14.37,3610314.0,38270.0,14.725098
AUVIP,2024-03-07 05:00:00+00:00,4.51,4.86,4.51,4.86,753.0,9.0,4.693028
BYND,2024-03-07 05:00:00+00:00,8.1,8.2199,7.83,7.98,2301436.0,17914.0,7.957625
CCNE,2024-03-07 05:00:00+00:00,20.47,20.735,20.19,20.29,28473.0,631.0,20.360517
AEHL,2024-03-07 05:00:00+00:00,1.58,1.64,1.4801,1.55,29103.0,168.0,1.571539
AOGOW,2024-03-07 05:00:00+00:00,0.027,0.027,0.027,0.027,100.0,1.0,0.027
BOOM,2024-03-07 05:00:00+00:00,17.0,17.18,16.98,17.1,124940.0,2957.0,17.061306
BYRN,2024-03-07 05:00:00+00:00,11.81,14.27,11.44,13.0,754843.0,8257.0,12.891724
CBFV,2024-03-07 05:00:00+00:00,22.49,22.49,22.11,22.11,4903.0,85.0,22.114345
AENT,2024-03-07 05:00:00+00:00,1.1816,1.94,1.1816,1.46,34739.0,245.0,1.523345
BFRG,2024-03-07 05:00:00+00:00,4.35,4.35,4.04,4.24,227807.0,1821.0,4.162456
CRDL,2024-03-07 05:00:00+00:00,1.59,1.68,1.5,1.63,318938.0,1215.0,1.600668
CZNC,2024-03-07 05:00:00+00:00,18.13,18.13,17.65,17.78,15611.0,418.0,17.799917
BKR,2024-03-07 05:00:00+00:00,30.64,31.06,30.58,30.83,8855369.0,50123.0,30.866392
AEIS,2024-03-07 05:00:00+00:00,103.24,106.7,103.24,105.72,196271.0,5645.0,105.709613
ALNY,2024-03-07 05:00:00+00:00,150.42,150.6799,149.23,149.86,562313.0,12116.0,149.909974
AMAT,2024-03-07 05:00:00+00:00,213.23,214.255,211.51,212.61,6280796.0,104549.0,213.036062
ARBEW,2024-03-07 05:00:00+00:00,0.1521,0.1536,0.1304,0.15,10725.0,68.0,0.14747
ASTC,2024-03-07 05:00:00+00:00,7.66,8.33,7.66,8.0,5896.0,67.0,8.027593
AUGX,2024-03-07 05:00:00+00:00,3.92,3.92,3.69,3.85,297100.0,3102.0,3.817389
AXON,2024-03-07 05:00:00+00:00,315.1,317.99,313.96,315.13,361715.0,12374.0,315.547038
CHX,2024-03-07 05:00:00+00:00,31.37,31.96,31.27,31.76,959526.0,17254.0,31.773044
CPHC,2024-03-07 05:00:00+00:00,26.55,28.5,25.8863,25.9,8964.0,410.0,27.049764
BCRX,2024-03-07 05:00:00+00:00,5.25,5.25,5.13,5.18,2199401.0,15146.0,5.192352
BLTE,2024-03-07 05:00:00+00:00,46.0,46.64,45.56,46.58,49380.0,623.0,46.329441
BNOX,2024-03-07 05:00:00+00:00,1.16,1.2054,1.131,1.17,56259.0,311.0,1.174127
CSWI,2024-03-07 05:00:00+00:00,236.19,240.1,236.17,238.13,55730.0,3188.0,238.358847
BVFL,2024-03-07 05:00:00+00:00,12.802,12.8625,12.17,12.63,25446.0,470.0,12.505598
CEADW,2024-03-07 05:00:00+00:00,0.013,0.013,0.013,0.013,1500.0,1.0,0.013
CLST,2024-03-07 05:00:00+00:00,11.8,11.8,11.79,11.8,1479.0,16.0,11.799544
CPSH,2024-03-07 05:00:00+00:00,2.23,2.23,1.95,1.985,434109.0,1682.0,2.032222
AADI,2024-03-07 05:00:00+00:00,2.17,2.27,2.15,2.22,284631.0,2242.0,2.218366
BNZIW,2024-03-07 05:00:00+00:00,0.033,0.033,0.033,0.033,5131.0,2.0,0.033
CHSN,2024-03-07 05:00:00+00:00,1.64,1.71,1.61,1.62,46047.0,242.0,1.669069
AFRI,2024-03-07 05:00:00+00:00,10.4,10.75,10.34,10.47,6173.0,99.0,10.430523
AKTS,2024-03-07 05:00:00+00:00,0.62,0.6696,0.59,0.6171,462606.0,2408.0,0.622293
ARBKL,2024-03-07 05:00:00+00:00,9.2,9.4,9.2,9.4,14089.0,80.0,9.249085
AREC,2024-03-07 05:00:00+00:00,1.64,1.75,1.57,1.66,327309.0,1321.0,1.659345
BLEU,2024-03-07 05:00:00+00:00,10.74,10.74,10.74,10.74,581.0,10.0,10.733124
BTMD,2024-03-07 05:00:00+00:00,5.73,6.16,5.7,6.03,77820.0,951.0,6.051363
BWBBP,2024-03-07 05:00:00+00:00,18.27,18.29,17.97,18.19,3698.0,28.0,18.199214
BSBK,2024-03-07 05:00:00+00:00,7.38,7.48,7.38,7.4,7658.0,63.0,7.415597
BYFC,2024-03-07 05:00:00+00:00,5.62,5.75,5.62,5.64,4796.0,118.0,5.680205
CHMG,2024-03-07 05:00:00+00:00,42.75,42.99,42.25,42.25,3539.0,220.0,42.521012
COSM,2024-03-07 05:00:00+00:00,0.7745,0.8,0.76,0.773,41008.0,166.0,0.769741
AMED,2024-03-07 05:00:00+00:00,93.0,93.415,92.89,93.1,211201.0,3277.0,93.081859
ARM,2024-03-07 05:00:00+00:00,140.0,146.54,138.81,140.85,14153782.0,160433.0,142.902282
BCBP,2024-03-07 05:00:00+00:00,10.5,10.6287,10.36,10.51,21829.0,420.0,10.475619
CNXN,2024-03-07 05:00:00+00:00,65.89,66.135,65.0619,65.41,69992.0,2402.0,65.450174
AIXI,2024-03-07 05:00:00+00:00,1.99,2.04,1.88,1.88,83679.0,514.0,1.968753
AMST,2024-03-07 05:00:00+00:00,2.07,2.1,2.0,2.05,19105.0,96.0,2.045086
ASUR,2024-03-07 05:00:00+00:00,9.57,9.63,9.1,9.16,319276.0,3947.0,9.22005
BKYI,2024-03-07 05:00:00+00:00,1.97,2.13,1.9601,2.0,48041.0,635.0,2.024592
CASA,2024-03-07 05:00:00+00:00,0.3852,0.41,0.37,0.3774,122020.0,453.0,0.378892
CNTB,2024-03-07 05:00:00+00:00,1.33,1.3399,1.2,1.2002,33236.0,182.0,1.266228
CNVS,2024-03-07 05:00:00+00:00,1.28,1.37,1.2704,1.32,127192.0,833.0,1.308898
CRIS,2024-03-07 05:00:00+00:00,10.01,10.29,9.75,9.98,12238.0,235.0,10.014769
ATAT,2024-03-07 05:00:00+00:00,18.78,19.03,18.09,18.22,370743.0,4922.0,18.287657
AWINW,2024-03-07 05:00:00+00:00,0.0143,0.0143,0.0142,0.0143,8067.0,14.0,0.014293
BIGC,2024-03-07 05:00:00+00:00,7.38,7.67,7.369,7.56,554772.0,7058.0,7.546051
CUE,2024-03-07 05:00:00+00:00,1.95,2.02,1.88,1.97,243691.0,1428.0,1.970369
APLD,2024-03-07 05:00:00+00:00,4.13,4.31,4.04,4.16,1908285.0,12457.0,4.161699
BCEL,2024-03-07 05:00:00+00:00,0.23,0.2329,0.21,0.2323,613936.0,925.0,0.223592
CALC,2024-03-07 05:00:00+00:00,4.37,4.685,4.37,4.43,37562.0,687.0,4.531486
CARG,2024-03-07 05:00:00+00:00,22.81,23.36,22.73,23.28,1224128.0,17891.0,23.203343
CDAQ,2024-03-07 05:00:00+00:00,10.68,10.68,10.68,10.68,1227.0,7.0,10.679796
CBNK,2024-03-07 05:00:00+00:00,20.44,20.44,20.2301,20.39,7919.0,212.0,20.403365
COIN,2024-03-07 05:00:00+00:00,240.0,242.87,235.5,242.62,10435798.0,186787.0,240.167378
AZTA,2024-03-07 05:00:00+00:00,65.0,67.22,65.0,67.14,358618.0,9948.0,66.433733
CMND,2024-03-07 05:00:00+00:00,1.52,1.55,1.34,1.38,195437.0,737.0,1.454151
CRKN,2024-03-07 05:00:00+00:00,0.088,0.088,0.08,0.085,1834916.0,1951.0,0.082869
CSPI,2024-03-07 05:00:00+00:00,39.46,42.29,38.0101,40.46,94837.0,1663.0,40.939059
CZFS,2024-03-07 05:00:00+00:00,45.4607,45.4607,45.07,45.07,2752.0,212.0,45.217943
ADNWW,2024-03-07 05:00:00+00:00,0.0262,0.03,0.0243,0.03,63041.0,46.0,0.028107
AIP,2024-03-07 05:00:00+00:00,7.04,7.23,6.96,7.19,78315.0,1637.0,7.157713
AISP,2024-03-07 05:00:00+00:00,5.55,5.99,4.76,5.5,6440066.0,45665.0,5.421414
ALVO,2024-03-07 05:00:00+00:00,16.1,16.1,15.97,16.02,95883.0,1066.0,16.026041
ARCB,2024-03-07 05:00:00+00:00,141.5,148.738,140.81,146.23,602636.0,12011.0,145.38901
BIOX,2024-03-07 05:00:00+00:00,13.05,13.14,12.81,12.95,22300.0,317.0,12.988486
CPRX,2024-03-07 05:00:00+00:00,16.29,16.75,16.05,16.64,1079500.0,13618.0,16.510611
CSTR,2024-03-07 05:00:00+00:00,19.41,19.58,19.22,19.3,94999.0,1439.0,19.344609
ARGX,2024-03-07 05:00:00+00:00,395.66,396.87,388.07,388.68,169679.0,5940.0,390.318638
CLMB,2024-03-07 05:00:00+00:00,70.7,70.7,67.23,67.23,9090.0,705.0,68.724538
CMPO,2024-03-07 05:00:00+00:00,5.99,6.54,5.81,5.92,1672220.0,11617.0,6.104718
ACIC,2024-03-07 05:00:00+00:00,10.4,10.77,10.2985,10.58,238382.0,4011.0,10.575029
ATNI,2024-03-07 05:00:00+00:00,32.84,33.15,32.05,32.2,89824.0,2715.0,32.405916
BMRN,2024-03-07 05:00:00+00:00,87.21,87.87,85.625,85.89,1224140.0,16119.0,86.163641
CREV,2024-03-07 05:00:00+00:00,13.2,15.5,12.8852,14.04,13571.0,489.0,13.9767
CTAS,2024-03-07 05:00:00+00:00,630.25,632.03,627.2243,628.38,253610.0,11394.0,629.286409
ALTI,2024-03-07 05:00:00+00:00,6.35,6.6,6.12,6.45,81484.0,1110.0,6.401041
AVPT,2024-03-07 05:00:00+00:00,7.71,7.71,7.545,7.63,645626.0,7132.0,7.635436
BETR,2024-03-07 05:00:00+00:00,0.5065,0.5065,0.4838,0.4991,739464.0,1807.0,0.49343
CHRW,2024-03-07 05:00:00+00:00,72.07,72.74,71.54,72.61,1576319.0,30555.0,72.196337
CROX,2024-03-07 05:00:00+00:00,120.24,124.795,120.24,124.0,1128344.0,22518.0,123.204159
APEI,2024-03-07 05:00:00+00:00,15.51,15.51,13.46,13.63,460566.0,7130.0,14.136744
ATRI,2024-03-07 05:00:00+00:00,395.75,420.0,388.98,414.0,24013.0,4611.0,402.854731
BCML,2024-03-07 05:00:00+00:00,20.0,20.19,20.0,20.14,15489.0,407.0,20.126005
CPTNW,2024-03-07 05:00:00+00:00,0.0076,0.0115,0.0076,0.0107,1208.0,7.0,0.009834
AEAE,2024-03-07 05:00:00+00:00,11.11,11.19,11.11,11.19,456.0,5.0,11.129814
ALCE,2024-03-07 05:00:00+00:00,0.412,0.447,0.41,0.41,69823.0,247.0,0.426011
BCTX,2024-03-07 05:00:00+00:00,3.1,3.24,2.8,2.9,232531.0,1563.0,3.025284
CENN,2024-03-07 05:00:00+00:00,1.33,1.38,1.27,1.36,122212.0,1285.0,1.31993
CENT,2024-03-07 05:00:00+00:00,41.49,41.79,41.32,41.66,77938.0,2963.0,41.614725
CLRB,2024-03-07 05:00:00+00:00,4.0,4.13,3.97,4.07,741139.0,4024.0,4.040033
AVT,2024-03-07 05:00:00+00:00,47.54,47.68,47.2,47.3,426782.0,11102.0,47.362563
BEEM,2024-03-07 05:00:00+00:00,6.98,7.07,6.85,6.94,67773.0,760.0,6.951406
